"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"HAO2"	-4.81564577624734	6.05386209027981	-17.0076779930583	6.15219983916724e-35	7.09656251447941e-31	68.8500574396896
"SLC22A1"	-4.71263641658021	6.74504646272095	-16.8097508155823	1.76481143540394e-34	1.01785499536922e-30	67.811991235697
"GXYLT2"	3.49721122955172	4.40767781470611	16.4550261067777	1.18024101327091e-33	4.53802669602664e-30	65.9395558915852
"KMO"	-3.25525980252685	6.03077363835914	-16.3772653652257	1.79364489739184e-33	5.17242347285372e-30	65.5270560755354
"CA2"	-2.53729143676498	7.06879484899321	-16.2735862646179	3.13731948996662e-33	7.237796063353e-30	64.9759414484299
"NPNT"	3.5127801332474	7.32278168815751	16.171109926885	5.4587228035627e-33	1.04943945898493e-29	64.429965533843
"GLS2"	-3.95203625548733	5.83215430158043	-15.6707035459667	8.29913515115095e-32	1.32553860983088e-28	61.7463053587663
"BCO2"	-4.08112969445644	5.80902274324407	-15.6474838326785	9.42257214108897e-32	1.32553860983088e-28	61.6210832019126
"GPC3"	4.79571704117853	9.70675979410226	15.6304568524476	1.03423038478352e-31	1.32553860983088e-28	61.5292194432949
"CRTAP"	1.2123412718452	8.8341655535121	15.5730570220596	1.41602886249904e-31	1.63338929289264e-28	61.2192970936851
"ITGA6"	2.67671670153424	7.87815650440606	15.4132076493939	3.40321449160389e-31	3.56873446915008e-28	60.3542821453113
"CEP68"	1.1056058207003	6.04145105962499	15.0979945180031	1.93317952719423e-30	1.85826882051545e-27	58.6403666590251
"PTS"	-1.65380134667637	6.21239713316407	-15.0616247388716	2.36374946716649e-30	2.09737308490504e-27	58.4419300750651
"MAGED1"	1.66925822344432	9.42499142251292	15.0190148356411	2.99218569787717e-30	2.46534728750094e-27	58.2092703306369
"SDS"	-4.36686755312381	6.84743241906546	-14.9670750221854	3.98935170024571e-30	3.06781145748895e-27	57.9254111231494
"ITGA2"	3.26849143823094	5.88351196761841	14.7990831750496	1.01325744774204e-29	7.30495291231526e-27	57.0054071658278
"HSDL1"	1.43786536119433	6.22422729210549	14.7426470266332	1.38671662433895e-29	9.40928015397048e-27	56.6956925570301
"IGF2BP2"	2.37305823027793	7.07594379925363	14.7276727766594	1.50718450777125e-29	9.6585407206341e-27	56.6134620929734
"FETUB"	-3.87877801623377	6.41936790529518	-14.5033929625898	5.26207886515703e-29	3.19463577418875e-26	55.379190960104
"PEG10"	3.71628510326386	9.83272966374396	14.4843551799365	5.85253060632362e-29	3.37544702719715e-26	55.2741957758532
"CDC37L1"	-1.79483083016556	6.95776476447626	-14.4718509782796	6.27606319369328e-29	3.44735185425009e-26	55.2052150256231
"SLC1A1"	-4.33379227720378	5.56103775342019	-14.3999902537487	9.37975797014926e-29	4.91797764480326e-26	54.8084992729205
"TMEM98"	1.66590600457622	7.23143262716983	14.1988378308269	2.89566043493369e-28	1.45223665725913e-25	53.6954476471516
"PLCG1"	1.54479072737331	7.5027837364635	14.1702646807445	3.39949737084984e-28	1.63388342386471e-25	53.5370412372899
"TRPC1"	1.64172025933477	4.99029674736652	14.1514969936775	3.7773827797377e-28	1.74288441457097e-25	53.4329552737198
