"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TRIM71",8.16009834288388,0.789942770614339,12.0265327032535,1.03753721032475e-17,5.98399586054798e-14,29.9381368356123
"TRIB2",2.01586994939136,6.29664381201994,11.7342149899351,2.96989645802537e-17,1.14192518811075e-13,28.9161098925959
"FRRS1L",7.22863355116472,0.334891173006368,11.3302056735346,1.29280515390367e-16,2.85290181403877e-13,27.4851252049733
"AIF1L",2.07674458997913,2.24165891591437,11.2506299027042,1.73127981779553e-16,2.85290181403877e-13,27.2007925270391
"ITGA6",3.12105289806698,6.18117704261916,11.0593966212414,3.50357533976721e-16,4.49041572713497e-13,26.5142236719364
"CRTAP",1.23122896108343,6.43646121737527,10.8612943895855,7.30501260167936e-16,8.0520367057316e-13,25.7981968920962
"EPHB2",3.99659425224419,2.04996130433716,10.8478923164555,7.67857856636737e-16,8.0520367057316e-13,25.7495823340133
"IGF2BP2",2.96059722204687,4.71398998421897,10.6752051085858,1.46274252415121e-15,1.12484900107228e-12,25.1212399724422
"GNG4",6.53686826890688,-0.0903233946852032,10.4284349681057,3.6952819239845e-15,2.24342510490322e-12,24.2172176710212
"PRDM16",3.34655787306083,-0.0748632012237707,10.3638129741831,4.71546362610397e-15,2.62222204440936e-12,23.9793191353626
"NPNT",3.91479679286306,4.78503309111573,10.3011229682897,5.97615888737021e-15,3.13340876208252e-12,23.748081988129
"SEMA3G",2.53619772062236,2.74198405455462,10.2483718730366,7.29704629795924e-15,3.50714287695666e-12,23.5531649090737
"GPC3",5.4896128208266,7.15760647334337,10.193904035317,8.97073537026401e-15,3.97781279831651e-12,23.3515814268691
"COL2A1",7.59879204848641,-0.0750055481761375,10.1840964391272,9.31087521062381e-15,3.97781279831651e-12,23.3152492713246
"CEP68",1.2338121297293,3.91544546880812,10.0848312880222,1.35774493389792e-14,5.22052927083751e-12,22.9469346460131
"NKD1",5.45435337531231,4.00782812348037,10.0689881915987,1.44213649639018e-14,5.36614338253570e-12,22.8880520942344
"SHROOM4",2.06035338455986,3.2376303924568,9.98846331244085,1.96011854870125e-14,6.93553039014867e-12,22.5883611384572
